nim,email,password,name,gender,birthDate,phoneNumber,religion,studyProgram,classYear,skills
171511001,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Afif Rana Muhammad,1,2000-01-01,+6288811112222,1,2,2017,"[""PHP""]"
171511002,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alif Ramdani,1,2000-01-01,+6288811112222,1,2,2017,"[""C++"", ""JavaScript""]"
171511003,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alifia Syalsabila,2,2000-01-01,+6288811112222,1,2,2017,"[""React Native""]"
171511004,dummy.tif417@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Alwan Assyauqi,1,2000-01-01,+6288811112222,1,2,2017,"[""Laravel"", ""Web development""]"
181511005,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Andi Fauzy,1,2000-01-01,+6288811112222,1,1,2018,"[""Android software development"", ""CodeIgniter"", ""Flutter (software)""]"
181511006,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Bening Promistya Anandita Qolbu,2,2000-01-01,+6288811112222,1,1,2018,"[""CodeIgniter"",""PHP""]"
161511007,dummy.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Debora Eirene,2,2000-01-01,+6288811112222,2,2,2016,"[""Python (programming language)""]"
171511008,dummy.tif17@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Ersaad Gisda,1,2000-01-01,+6288811112222,1,1,2017,"[""Web development""]"
181511009,dummy.tif418@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hafiz Muhammad,1,2000-01-01,+6288811112222,1,2,2018,"[""JQuery"", ""JavaScript""]"
161511010,dummy.tif416@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hendra Permana,1,2000-01-01,+6288811112222,1,2,2016,"[""IOS development software""]"
181511011,dummy.tif18@polban.ac.id,5f4dcc3b5aa765d61d8327deb882cf99,Hilmy Okto,1,2000-01-01,+6288811112222,1,1,2018,"[""Laravel""]"
